"id","question","option_1","option_2","option_3","option_4","correct"
"11","Az alábbiak közül melyik jogintézmény tekinthető a  szerződéses ígéret   betartására ösztönző jogi eszköznek?","Kártérítési felelősség","Megtámadási jog","Felmondás","Elállás","1"
"12","Az adatvédelmi incidens","72 órán belül megvizsgálandó és bejelentendő","48  órán  belül  megvizsgálandó  és  bejelentendő","24  órán  belül  megvizsgálandó  és  bejelentendő","Csak akkor bejelentendő, ha incidens nagyszámú érintett","1"
"13","Az adatvédelmi incidens","Fő szabály szerint felismeréstől számított 48 órán  belül megvizsgálandó és   bejelentendő az adatvédelmi felügyeleti hatóságnak","Fő szabály szerint felismeréstől számított 72 órán belül   megvizsgálandó és bejelentendő az adatvédelmi és felügyeleti  hatóságnak","Fő szabály szerint felismeréstől számított 24 órán  belül megvizsgálandó és   bejelentendő az adatvédelmi és felügyeleti hatóságnak","Csak akkor bejelentendő, ha az incidens nagyszámú érintett adataira   vonatkozik","2"
"14","A szerzői jog","Csak irodalmi és művészeti alkotásokra terjed ki","Csak tudományos és művészeti alkotásra terjed ki","Tudományos, művészeti és irodalmi alkotásokra terjed ki","Bármilyen alkotásra kiterjed","3"
"15","A GDPR hatálya","Csak a strukturáltan kezelt adatállományokra terjed ki","Csak az uniós polgárok adataira terjed ki","Nem terjed ki az Európai Unióban tevékenykedő harmadik országbeli   cégek adatkezelésére","Minden adatkezelésre kiterjed","1"
"16","A partnerválasztás szabadsága","Csak akkor érvényesül, ha egyik fél sem közüzemi szolgáltató","Semmilyen módon nem korlátozható","Csak akkor érvényesül, ha az egyik fél közüzemi szolgáltató","Nem érvényesül a magyar jogban","1"
"17","A politikai vélemény","Kezelése fő szabály szerint tilos","Ugyanolyan feltételekkel kezelhető, mint a vagyoni helyzetre vonatkozó   adatok","Nem lehet személyes adat","Csak a választásokat megelőzően gyűjthető","1"
"18","Személyes adat kezelhető","Jogos érdekből, érdekmérlegelési teszt alapján","Készletre","Gazdasági érdekből minden  esetben","Jogalap nélkül is","1"
"19","A fogyasztói szerződésben foglalt általános szerződési feltétel","Semmis","Értelmezése során – vita esetén – a fogyasztó számára kedvezőbb   értelmezést kell követni","Hatálytalan","Tisztességtelen","2"
"20","A polgári jogi felelősség együttes feltételei","Jogellenes  szerződéskötés  és  szabálysértés","Kár, szerződésszegés és  felróhatóság","Jogellenes magatartás, deliktum, felróhatóság","Jogellenes magatartás, kár és a kettő közötti okozati összefüggés","4"
"21","A kötelem","A kötelezettség régies elnevezése","Vagyoni értékű szolgáltatás teljesítésére irányuló polgári jogi   jogviszony","A szerződés régies elnevezése","A dologi jogviszonyok egyike","2"
"22","Az üzleti kockázatok elosztása","Szerződéskötés révén  nem  lehetséges","Szerződéses úton általában hatékonyan megvalósítható","A jogalkotó feladata, ezért azt minden esetben törvény szabályozza","Csak  szerződéskötés  révén  lehetséges","2"
"23","A  szerződés  érvénytelensége  esetén","Az eredeti állapotot nem természetben kell helyreállítani","A bíróság a szerződést megszünteti","Az érvénytelenséget okozó fél a szerződétől elállhat","Az alaptalan (jogalap nélküli) gazdagodás szabályainak alkalmazására   kerülhet sor","4"
"24","A szerződésszegő fél mentesül a kártérítés kötelezettség alól, ha bizonyítja,   hogy","A kárt véletlenül okozta","A károkozás az ellenőrzési körén kívül eső, a szerződéskötés   időpontjában előre nem látható körülmény vezetett","A kárt nem direkt okozta","A kárt nem ő, hanem alvállalkozója okozta","2"
"25","Személyes adat kezelhető","Készletre","Jogos érdekből, érdekmérlegelési teszt alapján","Gazdasági érdekből minden esetben","","2"
"26","X, mint tartásra kötelezett és Y, mint tartásra jogosult 2017-ben tartási   szerződést kötöttek egymással, amely alapján X személyesen ápolja ás  gondozza Y-t. 2019-ben X egészségi állapota rohamosan romlani kezd, ezért  a  szerződésből  fakadó  személyes  kötelezettségei  teljesítésére  alkalmatlanná  válik","A pacta sunt elvére tekintettel X semmiképpen nem szabadulhat a   szerződésből, továbbra is köteles szerződésszerűen teljesíteni.","X jogosult a szerződés bíróság általi módosítását kezdeményezni   annak érdekében, hogy a szerződést a bíróság életjáradéki  szerződéssé módosítsa.","","","2"
"27","A polgári jog","Határozza meg az államszervezetet és az állami szervek működését","alanya soha nem lehet az állam","az egyik legfontosabb közjogi jogterület","a személyek alapvető személyi és vagyoni viszonyait szabályozza","4"
"28","Az alábbiak közül mi tekinthető szavatossági jognak?","Kötbér","Kártérítés","Foglaló","Elállás","4"
"29","Az adatkezeléshez adott hozzájárulás","Csak akkor érvényes, ha önkéntesen adják","Szerződés kapcsolatban kikényszeríthető","Általános tájékoztatás mellett is elfogadható","Cél nélkül is lehetővé teszi az adatkezelést korlátlan ideig","1"
"30","Az alábbiak közül melyik tekinthető a szerződésszegés általános   jogkövetkezményének","Perindítás joga","Megtámadás","Kötbér","Kártérítés","4"
"31","Termékszavatossági igény","A  fogyasztóval  szemben  érvényesíthető","Két fogyasztó közötti szerződés alapján érvényesíthető","Fogyasztói ingó adásvétel esetén nem érvényesíthető","A gyártóval szemben érvényesíthető akkor is, ha a fogyasztó nem a   gyártótól vásárolt","4"
"32","Mellőzhető az adatvédelmi incidens bejelentése a  tagállami felügyeleti   hatóságnak","Ha az incidens kivizsgálása csak jelentől anyagi ráfordítással lehetséges","Postai küldemények elvesztése esetén","Ha az incidens csak egy személyt érint","Ha az incidens nem járt kockázattal","4"
"33","Jogforrási hierarchia szerint","Az Európai Unió által kibocsátott rendeleteket csak akkor kell alkalmazni,   ha összhangban vannak a Ptk.-val","A Ptk. nem lehet ellentétes az alaptörvénnyel","Az Alaptörvény nem lehet ellentétes a Ptk.-val","A Ptk. megelőzi az Alaptörvényt","2"
"34","A fogyasztói szerződés","A vállalkozás és a fogyasztó között létrejött szerződés","Soha nem tekinthető  jognyilatkozatnak","Csak szóban vagy írásban tehető érvényesen","Csak írásban érvényes","1"
"35","Az  együttműködési  és  tájékoztatási  kötelezettség","Csak a  fogyasztói szerződésből fakadó jogviszonyok tekintetében   érvényesülő alapelv","Csak olyan körülményekre terjed ki, amelyek közhiteles nyilvántartásból   egyébként is megismerhetők","Csak  titoktartási  megállapodásban  köthető  ki  érvényesen","Megszegése kártérítési kötelezettséget keletkeztethet","4"
"36","A vélelem","Alkalmazása jogviták esetén tilos","Csak akkor alkalmazható, ha a felek ezt együttesen előterjesztett   nyilatkozatunkban indítványozzák","Azt jelenti, hogy valamennyi körülményt – nagyfokú valószínűségre   tekintettel – igaznak tételezzük","A fikció régies elnevezése","3"
"37","„A”, mint eladó és „B”, mint vevő ingatlan adásvételi szerződést kötöttek  egymással szóban. Miután „A” nem adta az ingatlant ,,B” birtokába a  megállapodott határidőn belül (annak ellenére, hogy a teljes vételárat átvette  „B” -től), „B” pert indított „A” -val szemben, és azt kérte, hogy a bíróság kötelezze  „A”-t a szerződés teljesítésére.","A bíróság megállapítja „A” szerződésszegését, és ítéletében „A” -t a   szerződes teljesítésére kötelezi.","A bíróság elutasítja a teljesítésre kötelezés iránti kérelmet, mert   szerződés érvénytelen.","","","2"
"38","A személyes adatkezeléseket az egész Európai Unióban jelenleg az alábbi   jogi norma szabályozza","Az e-privacy rendelet","Az információs önrendelkezési jogról és az információsszabadságról szóló törvény","Az adatvédelmi irányelv","Az általános adatvédelmi rendelet (GDPR)","4"
"39","Az ajánlat","Csak a szerződés létrejövetele után tehető meg érvényesen","A szerződő felek konszenzusának eredményeképpen jön létre","Ráutaló magatartással is megtehető jognyilatkozat","Csak akkor vált ki joghatást, ha írásban közölték","3"
"40","A szerződésre tett ajánlat","Csak szóban vagy írásban tekinthető érvényesen","Ajánlati kötöttséget von maga után, ha azt az ajánlattevő ki nem zárta","Csak írásban érvényes","Soha nem tekinthető  jognyilatkozatnak","2"
"41","Az alábbiak közül melyik nem tekinthető a szerződésszegés általános   jogkövetkezményének?","Kártérítés","Visszatartási jog","Az elállási, illetve felmondás joga","Jótállás","4"
"42","A jogforrási hierarchia szerint","Az Európai Unió által kibocsátott rendeleteket csak akkor kell alkalmazni,   ha összhangban vannak a Ptk. -val","A Ptk. nem lehet ellentétes az alaptörvénnyel","Az Alaptörvény nem lehet ellentétes a Ptk.-val","A Ptk. megelőzi az Alaptörvényt.","2"
"43","A szerződési szabadság","A szerződési jogban korlátlanul érvényesülő alapelv","Kizárólag jogszabályi úton korlátozható","Közszolgáltatók esetében nem korlátozható","Akár szerződéssel akár jogszabály által korlátozható","4"
"44","A kártérítés felelősség konjuktív feltételei","Jogellenes  magatartás  és  szerződésszegés","Jogellenes magatartás, kár és okozati összefüggés","Szabálysértés és károkozás","Károkozás és felróhatóság","2"
"45","Az állami kényszermonopólium","Azt jelenti, hogy bizonyos gazdasági tevékenységek szükségszerűen   állami monopóliumban vannak","Értelmében az állami – és csak az állam – a jogi normák   érvényesülését végső soron kényszereszközökkel is biztosíthatja","Értelmében a jogi normák csak akkor érvényesülnek, ha azokat az állami   kényszereszközökkel érvényesíti","A magyar jogban nem érvényesül","2"
"46","Az általános szerződési feltétel","Több szerződés megkötése céljából az egyik fél által előre   meghatározott feltétel","","","","1"
"47","A GDPR alapján kiszabható adatvédelmi bírság felső határa","10 millió EUR, vagy éves teljes forgalom 4%-a","10 millió EUR, vagy éves teljes forgalom 10%-a","20 millió HUF, vagy éves teljes forgalom 4%-a","  20 millió EUR, vagy éves teljes forgalom 4%-a","4"
"48","A bíróságok hatásköri szabályai arra adnak választ, hogy","Milyen szintű bíróság járjon el elsőfokon","Az azonos szintű bíróságok közül melyik járjon el","Szükséges-e választottbírósági megállapodás a felek között","Milyen szintű bíróság járjon el másodfokon","1"
"49","A Mátrix Zrt., mint kölcsönvevő és a Tripont Kft., mint kölcsönadó közötti   kölcsönszerződés alapján a Mátrix Zrt. 2010. január 10-én volt köteles a teljes  tőkeösszeg és ügyleti kamatai (mindösszesen 10.000.000, -HUF)  visszafizetésére. A Mátrix Zrt. fizetési kötelezettségének nem tett eleget. A  Tripont Kft. időközben többször is tulajdonosváltoztatáson ment át, így a  Mátrix Zrt. először 2016. márciusában szólították fel arra, hogy a fizetési  kötelezettségének tegyen eleget","Ha a Mátrix Zrt. a fizetési felszólítást követően kifizeti a 10.000.000, -HUF  összeget, akkor azt elévülésre hivatkozva jogszerűen visszakövetelheti","A Mátrix Zrt. elévülésre hivatkozva a fizetési kötelezettség teljesítését   jogszerűen megtagadhatja","","","2"
"50","A kötelmi jogviszony","A relatív szerkezetű polgári jogi jogviszonyok, amelyek tárgya mindig   valamilyen szerződés","Abszolút szerkezetű polgári jogi jogviszonyok, amelyek tárgya kártéítés","Az ember halálával automatikusan megszűnnek.","Tárgya valamilyen vagyoni értékű szolgáltatás","4"
"51","A szerződés megtámadására","Jognyilatkozat tétele útján, vagy bírósági igényérvényesítés   keretében lehetőség nyílik","kizárólag a szerződő felek jogosultak","Legkésőbb  a  szerződéskötés  időpontjáig  van  lehetőség","Kizárólag bírósági eljárás keretében van lehetőség","1"
"52","A szerződésszegés","Mindig jogellenes","Csak akkor jogellenes, ha bűncselekménnyel valósítják meg","Általában nem jogellenes","Nem mindig jogellenes","4"
"53","A szerződés semmissége esetén","A szerződés létre sem jön","A szerződés teljesítése nem követelhető","A  semmisség megállapítása  a  szerződéskötéstől számított legfeljebb  egy   éven belül kérhető","A szerződés határidő nélkül megtámadható","1"
"54","Az Európai Unió Bírósága","Előzetes döntéshozatali eljárásban segít a tagállami bíróságok   ítélkezését","Fellebbviteli fórumként működik a tagállami bíróságok ítéletei tekintetében","Feladata az Emberi jogok Európai Egyezményének vizsgálata","Székhelye Strasbourg","1"
"55","A nem fogyasztói szerződésben alkalmazott tisztességtelen általános   szerződési feltétel jogkövetkezménye, hogy","Az adott feltétel semmis lesz","Elállási jog illeti meg a sérelmet szenvedő felet","A szerződésmegtámadható lesz","Az adott feltétel nem válik az egyedi szerződés részévé így azt nem is kell   teljesíteni","3"
"56","Az elévült követelés","Megszünteti  az alapjául szolgáló  szerződést","Megszűnik","Bírói úton nem érvényesíthető","A bíróság hivatalból vizsgálja","3"
"57","A közjogi norma","A felek mellérendeltségen alapul","Diszpozitívitás jellemzi","Az egyik alanya mindig az állam (állami szerv)","Jellemzően a polgári jogban fordul elő","3"
"58","Az ajánlattételre történő felhívás","Nem von maga után ajánlati kötelezettséget","Mindig címzett jognyilatkozat","Mindig ajánlati kötöttséget von maga után","A  szerződést  automatikusan  létrehozó  jognyilatkozat","2"
"59","Az Angolról – Magyarra Fordító Kft. a honlapján közzétett általános szerződési  feltételeiben rögzítette, hogy amennyiben ajánlatot kérnek tőle, akkor az  ajánlat elkészítéséért 10.000, -HUF összeget számít fel abban az esetben is,  ha az ajánlatot az ajánlatkérő utóbb nem fogadja el. Várkonyi Pál fordítási  ajánlatot kért a Kft. -től, amely ajánlatot azonban – miután a fordítási díjat túl  magasnak ítélte - nem fogadott el. Ezt követően a Kft. kiszámlázta a 10.000, -  HUF összegű ajánlatkészítési díjat, amelynek kifizetését Várkonyi úr  megtagadta.","Az ajánlatkészítési díjra vonatkozó kikötés mindenképpen   tisztességtelen szerződési feltételnek minősül ezért érvénytelen.","Ha bizonyítható, hogy Várkonyi úr a Kft. ÁSZF-ének ismeretében kért  árajánlatot, akkor a Kft. jogszerűen követeli az „ajánlatkészítési” díjat.","","","2"
"60","A kártérítés  felelősség együttes feltételei","Jogellenes  magatartás  és  szerződésszegés","Jogellenes magatartás, kár és okozati összefüggés","Szabálysértés és károkozás","Károkozás és felróhatóság","2"
"61","A személyes adat","meghatározott, azonosított vagy azonosítható természetes személlyel   kapcsolatba hozható adat","","","","1"
"62","János és József jó barátok. József épp arról mesél Jánosnak, hogy használt  laptopot szeretne venni. János erre rögtön említi is barátjának, hogy ő épp  most vett egy új gépet, és a régit eladná. József nagyon megörül, és alaposan  kikérdezi barátját a gép típusáról, állapotáról, életkoráról, műszaki adatairól.  Megállapodnak, hogy József 50.000 Ft-ért megveszi a laptop-ot.  Megegyeznek abban is, hogy a gépért másnap elmegy barátjához. József  másnap fel is keresi Jánost, jelezve, hogy elhozta a pénzt, és vinné haza a  laptopot. János erre közli, hogy meggondolta magát. József válaszában arra  hivatkozik, hogy tegnap megállapodtak. János szerint azonban közöttük  szerződés nem jött létre, hiszen a laptopot nem adta át.","Jogos József követelése","Nem jogos József követelése","","","1"
"63","A hézagmentes oltalom elve","a Ptk. által szabályozott","Ptk. által nem érvényesül","alapján már az ötlet is jogvédelem alatt áll","csak akkor érvényesül, ha felek megegyeznek erről","1"
"64","Adatvédelmi incidens","mindig bekövetkezik, ha az adatvédelmi szabályok és előírásokat   megszegik","csak akkor következik be, ha személyes adatok jogosulatlan   közlése vagy az azokhoz való jogosulatlan hozzáférés történik","bejelentése szükséges az adatvédelmi hatóságnak 48 órán belül","csak akkor történik, ha az érintetteket komolyabb kockázat éri","2"
"65","A tisztességtelen általános szerződési feltétel egy fogyasztói szerződésben","Semmis","Megtámadható","Csak hitelintézetekkel kötött szerződésben megtámadható","","1"
"66","Bírói úton történő szerződésmódosítás","bármikor lehetséges","csak a felek közötti tartós jogviszony esetén lehetséges","csak szerződésszegés esetén lehetséges","bármiféle érdeksérelem esetén lehetséges","2"
"67","Késedelmes teljesítés esetén","érdekmúlásra hivatkozva a megrendelő elállhat a szerződéstől","mindig szerződésszegés történik","kötelező teljesíteni","kötbér fizetési kötelező","1"
"68","A szerződési szabadság","kizárólag jogszabályi úton korlátozható","a szerződési jogban korlátlanul érvényesülő alapelv","akár szerződéssel akár jogszabály által korlátozható","közszolgáltatók esetében nem korlátozható","3"
"69","A fedezetelvonó szerződés","érvénytelen","megtámadható","semmis","relatíve hatálytalan","4"
"70","A szerződés megtámadására","legkésőbb a szerződéskötés időpontjáig van lehetőség","kizárólag a szerződő felek jogosultak","kizárólag bírósági eljárás keretében van lehetőség","jognyilatkozat tétele útján, vagy bírósági igényérvényesítés keretében lehetőség nyílik","4"
"71","Az érvénytelen szerződés","érvényessé válik akkor, ha azt az egyik fél kívánja","semmis vagy megtámadható lehet","nem alkalmas semmilyen joghatás kiváltására","létre sem jön","2"
"72","Az alábbiak közül melyik tekinthető szerződésszegés általános jogkövetkezményének?","perindítás joga","kártérítés","megtámadás","kötbér","2"
"73","Az alábbiak közül melyik tekinthető a szerződésszegés általános jogkövetkezményének?","a szolgáltatás teljesítésének lehetetlenülése","visszatartási jog","megtámadási jog","perindítás joga","2"
"74","A szerződésszegő fél mentesül a kártérítési kötelezettség alól, ha bizonyítja, hogy","a károkozásra az ellenőrzési körén kívül eső, a szerződéskötés időpontjában előre nem látható körülmény vezetett","a kárt nem direkt okozta","a kárt véletlenül okozta","a kárt nem ő, hanem alvállalkozója okozta","1"
"75","A kényszertörlési eljárás","felszámolási eljárásba fordul, ha az eljárás alá vont társaságnak van vagyona vagy munkavállalója","csak akkor indítható, ha a társaságnak legalább két tagja van","célja az adós vagyonának beolvasztása a hitelezők vagyonába","csak jogszerűen működő társasággal szemben indítható","1"
"76","A felszámoló eljárás","csak csődeljárást követően indítható","során a társaságot kizárólag a tagok képviselhetik, az ügyvezető már nem","a fizetésképtelen gazdasági társasággal szemben kezdeményezhető megalapozottan","esetén a társaság vagyona legalább a hitelezői követelések felét fedezi","3"
"77","A felszámoló eljárás / A felszámolási eljárás","célja az adós érdekeinek védelme","célja a hitelezői igények növelése","a fizetésképtelen adós megszüntetésére irányuló eljárás","alatt álló gazdasági társaság képviseletére az ügyvezető csak a tagokkal együtt jogosult","3"
"78","A szerződésszegés (A szerződésszegés általában jogellenes, kivéve, ha az egyébként nem szerződésszerű magatartást a törvény jogszerűnek ismeri el / kontraktuális felelősség esetén a szerződésszegés önmagában is jogellenes, és különböző, objektív szankciók kapcsolódhatnak hozzá.)","általában nem jogellenes","csak akkor jogellenes, ha bűncselekménnyel valósítják meg","nem mindig jogellenes","mindig jogellenes","3"
"79","A tagkizárási per","az ügyész indítványára indul","megindításáról a legfőbb döntéshozó szerv határoz","csak a társasági határozat felülvizsgálatával egyidejűleg indítható","megindításáról a vezető tisztségviselő határoz","2"
"80","Az üzleti kockázatok elosztása","csak szerződéskötés révén lehetséges","szerződéses úton általában hatékonyan megvalósítható","a jogalkotó feladata, ezért azt minden esetben törvény szabályozza","szerződéskötés révén nem lehetséges","2"
"81","A jogforrási hierarchia szerint","a Ptk. megelőzi az Alaptörvényt","az Alaptörvény nem lehet ellentétes a Ptk.-val","a Ptk. nem lehet ellentétes az Alaptörvénnyel","az Európai Unió által kibocsátott rendeleteket csak akkor kell alkalmazni, ha összhangban vannak a Ptk.-val","3"
"82","A kötelem","vagyoni értékű szolgáltatás teljesítésére irányuló polgári jogi viszony","a szerződés régies elnevezése","a kötelezettség régies elnevezése","a dologi jogviszonyok egyike","1"
"83","A kötelmi jogviszony","relatív szerkezetű polgári jogi jogviszonyok, amelynek tárgya mindig valamilyen szerződés","abszolút szerkezetű jogi jogviszonyok, amelyek tárgya kártérítés","az ember halálával automatikusan megszűnnek","tárgya valamilyen vagyoni értékű szolgáltatás","4"
"84","A szerződés semmissége esetén","a szerződés teljesítése nem követelhető","a szerződés határidő nélkül megtámadható","a szerződés létre sem jön","a semmisség megállapítása a szerződéskötéstől számított legfeljebb egy éven belül kérhető","1"
"85","A szerződés érvénytelensége esetén","a szerződés nem alkalmas a célzott joghatás kiváltására","a szerződés létre sem jön","a szerződés teljesítése érdekében a felek köteles együttműködni","a szerződésszegés általános jogkövetkezményeit kell alkalmazni","1"
"86","A szerződés érvénytelensége esetén","az eredeti állapotot nem természetben kell helyreállítani","az érvénytelenséget okozó fél a szerződéstől elállhat","az alaptalan (jogalap nélküli) gazdagodás szabályainak alkalmazására kerülhet sor","a bíróság a szerződést megszünteti","3"
"87","Az állami kényszermonopólium","azt jelenti, hogy bizonyos gazdasági tevékenységek szükségszerűen állami monopóliumban vannak","értelmében a jogi normák csak akkor érvényesülnek, ha azokat az állami kényszereszközökkel érvényesíti","értelmében az állam – és csak az állam – a jogi normák érvényesülését végső soron kényszereszközökkel is biztosíthatja","a magyar jogban nem érvényesül","3"
"88","Termékszavatossági igény","fogyasztói ingó adásvétel esetén nem érvényesíthető","a gyártóval szemben érvényesíthető akkor is, ha a fogyasztó nem a gyártótól vásárolt","két fogyasztó közötti szerződés alapján érvényesíthető","a fogyasztóval szemben érvényesíthető","2"
"89","Az ügyvezető","jogosult a gazdasági társaság képviseletére","tevékenységét csak megbízási jogviszonyban láthatja el","tevékenységét csak munkaviszonyban láthatja el","nem lehet a gazdasági társaság tagja","1"
"90","Az ajánlattételre történő felhívás","mindig ajánlati kötöttséget von maga után","nem von maga után ajánlati kötöttséget","mindig címzett jognyilatkozat","a szerződést automatikusan létrehozó jognyilatkozat","3"
"91","A gazdasági társaság vezető tisztségviselője","a társaság nevében szerződéseket köthet","utasíthatja a legfőbb döntéshozó szervet","csak a társasággal munkaviszonyban álló személy lehet","dönt a számviteli törvény szerinti beszámoló elfogadásáról","1"
"92","A kártérítés felelősségi konjunktív feltételei *A polgári jogi kártérítési felelősségnek négy alapvető feltétele vantár: (1.) az, hogy a károkozás jogellenes legyen, hogy (2.) a magatartás felróható legyen a károkozónak, és ezzel (3.) okozati összefüggésben (4.) kár következzen be.","károkozás és felróhatóság","jogellenes magatartás és szerződésszegés","jogellenes magatartás, kár és okozati összefüggés","szabálysértés és károkozás","3"
"93","A fogyasztói szerződés","soha nem tartalmazhat ÁSZF-et","csak ügyvéd által ellenjegyzett normában köthető érvényesen","olyan szerződés, amely fogyasztók között jön létre","a vállalkozás és a fogyasztó között létrejött szerződés","4"
"94","A fogyasztói szerződésben foglalt általános szerződési feltétel","tisztességtelen","semmis","értelmezése során – vita esetén – a fogyasztó számára kedvezőbb értelmezést kell követni","hatálytalan","3"
"95","Általános szerződési feltétel","fogyasztói szerződésben mindig tisztességtelen","több szerződés megkötése céljából az egyik fél által előre meghatározott feltétel","csak fogyasztói szerződésben minősülhet tisztességtelennek","csak akkor válik a szerződéses jogviszony részévé, ha magyarul közzéteszik","2"
"96","A tisztességtelen általános szerződési feltételek","csak hitelintézetekkel kötött szerződésben lehetnek érvénytelenek","fogyasztói szerződésben semmisek","alkalmazását a jog megengedi","fogyasztói szerződésen megtámadhatók","2"
"97","A gazdasági társaság -","képviseletére a külső társasági jogviszonyokban csak a tagok jogosultak","nem lehet személyhez fűződő jogok alanya","alapítása során a formakényszer elve érvényesül","legfőbb döntéshozó szerve a felügyelőbizottság","3"
"98","A gazdasági társaság","tulajdonosa csak természetes személy lehet","mindig profitorientált","másik gazdasági társaságban részesedést szerezhet","a tagjai vagyonával sajátjaként rendelkezhet","3"
"99","Mi tartozik a felügyelőbizottság feladatkörébe?","felvilágosítást adhat a társaság hitelezőinek a társaság vagyoni helyzetéről","határozhat a társaság működését veszélyeztető tag kizárásáról","betekinthet a társaság irataiba, számviteli nyilvántartásaiba, könyveibe","a társaság nevében szerződéseket köthet","3"
"100","A gazdasági társaság jogalanyisága akkor szűnik meg, amikor","a cégjegyzékből törlik","az alapító tagok kizárják","fizetésképtelenné válik","az alapító tag kilép","1"
"101","A társasági jogban a korlátolt felelősség azt jelenti, hogy","a társaság felelőssége korlátozott","a társaság tagjainak felelőssége korlátozott","a társaság tartozásaiért csak a társaság felel","a társaság hitelezőinek felelőssége korlátozott","3"
"102","A szerződésre tett ajánlat","csak írásban érvényes","csak szóban vagy írásban tehető érvényesen","soha nem tekinthető jognyilatkozatnak","ajánlati kötöttséget von maga után, ha azt az ajánlattevő ki nem zárta","4"
"103","A tapadó kár","a szolgáltatás tárgyában bekövetkező kár","szerződésszegés esetén nem érvényesíthető","csak akkor érvényesíthető, ha van következménykár is","a következménykárok egyik típusa","1"
"104","A nem fogyasztói szerződésben alkalmazott tisztességtelen általános szerződési feltétel jogkövetkezménye, hogy *semmisség: B2C (ún. relatív semmisség) / megtámadhatóság: B2B","az adott feltétel nem válik az egyedi szerződés részévé, így azt nem is kell teljesíteni","elállási jog illeti meg a sérelmet szenvedő felet","az adott feltétel semmis lesz","a szerződés megtámadható lesz","4"
"105","A szerződéskötés létrejön","ha a felek a szerződést érintő valamennyi kérdésben megállapodtak","ha a felek a szerződést érintő valamennyi lényeges kérdésben megállapodtak","ha a felek a szerződést érintő lényeges kérdések több mint felében megállapodtak","ha a felek az érvénytelen szerződést érvényessé nyilvánítják","2"
